ticker,side,entry_time,exit_time,entry,stop,target,exit,pnl_points,R,hold_bars,exit_reason,impulse_L,impulse_H,impulse_range,fib
ES=F,LONG,2025-10-13 14:50:00-04:00,2025-10-13 15:00:00-04:00,6686.625,6681.625,6696.625,6681.625,-5.25,-1.05,2,stop,6661.75,6711.5,49.75,0.5
ES=F,LONG,2025-10-15 11:40:00-04:00,2025-10-15 11:45:00-04:00,6716.375,6711.375,6726.375,6711.375,-5.25,-1.05,1,stop,6666.0,6766.75,100.75,0.5
ES=F,SHORT,2025-10-15 14:00:00-04:00,2025-10-15 14:10:00-04:00,6702.125,6707.125,6692.125,6707.125,-5.25,-1.05,2,stop,6651.5,6752.75,101.25,0.5
ES=F,LONG,2025-10-16 10:10:00-04:00,2025-10-16 10:15:00-04:00,6720.0,6715.0,6730.0,6730.0,9.75,1.95,1,target,6695.75,6744.25,48.5,0.5
ES=F,LONG,2025-10-17 10:00:00-04:00,2025-10-17 10:05:00-04:00,6658.25,6653.25,6668.25,6668.25,9.75,1.95,1,target,6632.0,6684.5,52.5,0.5
ES=F,LONG,2025-10-17 13:20:00-04:00,2025-10-17 13:30:00-04:00,6668.625,6663.625,6678.625,6678.625,9.75,1.95,2,target,6640.5,6696.75,56.25,0.5
ES=F,SHORT,2025-10-22 11:00:00-04:00,2025-10-22 11:10:00-04:00,6762.25,6767.25,6752.25,6752.25,9.75,1.95,2,target,6739.5,6785.0,45.5,0.5
ES=F,SHORT,2025-10-22 12:40:00-04:00,2025-10-22 12:45:00-04:00,6730.625,6735.625,6720.625,6735.625,-5.25,-1.05,1,stop,6698.0,6763.25,65.25,0.5
ES=F,SHORT,2025-10-30 09:55:00-04:00,2025-10-30 10:00:00-04:00,6906.5,6911.5,6896.5,6911.5,-5.25,-1.05,1,stop_and_target_same_bar_stop_first,6867.75,6945.25,77.5,0.5
ES=F,LONG,2025-10-31 10:20:00-04:00,2025-10-31 10:30:00-04:00,6876.75,6871.75,6886.75,6886.75,9.75,1.95,2,target,6851.0,6902.5,51.5,0.5
ES=F,SHORT,2025-10-31 14:05:00-04:00,2025-10-31 14:35:00-04:00,6871.5,6876.5,6861.5,6876.5,-5.25,-1.05,6,stop,6843.5,6899.5,56.0,0.5
ES=F,SHORT,2025-11-03 11:30:00-05:00,2025-11-03 11:55:00-05:00,6879.5,6884.5,6869.5,6884.5,-5.25,-1.05,5,stop,6849.5,6909.5,60.0,0.5
ES=F,SHORT,2025-11-04 10:25:00-05:00,2025-11-04 10:50:00-05:00,6844.5,6849.5,6834.5,6834.5,9.75,1.95,5,target,6795.75,6893.25,97.5,0.5
ES=F,SHORT,2025-11-06 13:35:00-05:00,2025-11-06 14:05:00-05:00,6766.5,6771.5,6756.5,6771.5,-5.25,-1.05,6,stop,6733.5,6799.5,66.0,0.5
ES=F,SHORT,2025-11-07 12:25:00-05:00,2025-11-07 12:35:00-05:00,6685.875,6690.875,6675.875,6675.875,9.75,1.95,2,target,6655.5,6716.25,60.75,0.5
ES=F,SHORT,2025-11-14 10:00:00-05:00,2025-11-14 10:05:00-05:00,6724.0,6729.0,6714.0,6714.0,9.75,1.95,1,target,6670.5,6777.5,107.0,0.5
ES=F,SHORT,2025-11-14 13:55:00-05:00,2025-11-14 14:05:00-05:00,6774.5,6779.5,6764.5,6764.5,9.75,1.95,2,target,6753.5,6795.5,42.0,0.5
ES=F,SHORT,2025-11-17 09:40:00-05:00,2025-11-17 09:45:00-05:00,6758.125,6763.125,6748.125,6763.125,-5.25,-1.05,1,stop,6726.5,6789.75,63.25,0.5
ES=F,LONG,2025-11-18 15:25:00-05:00,2025-11-18 15:30:00-05:00,6651.125,6646.125,6661.125,6661.125,9.75,1.95,1,target,6614.75,6687.5,72.75,0.5
ES=F,SHORT,2025-11-19 13:35:00-05:00,2025-11-19 13:40:00-05:00,6665.5,6670.5,6655.5,6655.5,9.75,1.95,1,target,6622.0,6709.0,87.0,0.5
ES=F,SHORT,2025-11-21 10:45:00-05:00,2025-11-21 10:50:00-05:00,6574.25,6579.25,6564.25,6564.25,9.75,1.95,1,target,6539.0,6609.5,70.5,0.5
ES=F,LONG,2025-11-21 15:20:00-05:00,2025-11-21 15:25:00-05:00,6638.875,6633.875,6648.875,6633.875,-5.25,-1.05,1,stop,6600.25,6677.5,77.25,0.5
ES=F,LONG,2025-11-24 09:50:00-05:00,2025-11-24 09:55:00-05:00,6650.375,6645.375,6660.375,6660.375,9.75,1.95,1,target,6614.0,6686.75,72.75,0.5
ES=F,SHORT,2025-12-01 10:00:00-05:00,2025-12-01 10:20:00-05:00,6838.25,6843.25,6828.25,6828.25,9.75,1.95,4,target,6812.75,6863.75,51.0,0.5
ES=F,LONG,2025-12-05 11:40:00-05:00,2025-12-05 11:50:00-05:00,6870.625,6865.625,6880.625,6880.625,9.75,1.95,2,target,6836.25,6905.0,68.75,0.5
ES=F,LONG,2025-12-10 14:45:00-05:00,2025-12-10 14:50:00-05:00,6864.5,6859.5,6874.5,6874.5,9.75,1.95,1,target,6842.25,6886.75,44.5,0.5
ES=F,LONG,2025-12-12 14:40:00-05:00,2025-12-12 15:25:00-05:00,6830.875,6825.875,6840.875,6825.875,-5.25,-1.05,9,stop,6805.0,6856.75,51.75,0.5
ES=F,SHORT,2025-12-15 11:30:00-05:00,2025-12-15 11:35:00-05:00,6839.0,6844.0,6829.0,6829.0,9.75,1.95,1,target,6806.25,6871.75,65.5,0.5
