pair,side,entry_time_et,exit_time_et,hold_min,entry_z,exit_z,beta,qty_a,qty_b,entry_a,entry_b,exit_a,exit_b,pnl,exit_reason
V-MA,SHORT_SPREAD,2025-12-10 13:48:00-05:00,2025-12-10 13:50:00-05:00,2.0,3.3301646104861753,3.616303329946196,0.6022396645274106,-10,10,326.5299987792969,539.4299926757812,326.260009765625,538.75,-4.10003662109375,STOP
V-MA,SHORT_SPREAD,2025-12-10 13:51:00-05:00,2025-12-10 13:52:00-05:00,1.0,2.344736513316504,3.120615006377504,0.5556393525612282,-9,10,326.3550109863281,538.5700073242188,326.29998779296875,538.5250244140625,0.045379638671875,STOP
V-MA,SHORT_SPREAD,2025-12-10 13:53:00-05:00,2025-12-10 14:01:00-05:00,8.0,2.4680229008419174,-0.125274912870149,0.5217010882811283,-9,10,326.20001220703125,538.3800048828125,326.5799865722656,540.27001953125,15.480377197265625,TP
V-MA,LONG_SPREAD,2025-12-10 14:04:00-05:00,2025-12-10 14:07:00-05:00,3.0,-2.440142640859794,-0.3361458747468213,0.49284942032033024,9,-11,327.0501403808594,541.2750244140625,327.0799865722656,540.4500122070312,9.34375,TP
V-MA,LONG_SPREAD,2025-12-10 14:24:00-05:00,2025-12-10 14:36:00-05:00,12.0,-2.228659659318072,0.14864259918630476,0.4328628727757011,8,-11,326.44000244140625,540.0850219726562,327.010009765625,541.25,-8.25469970703125,TP
V-MA,SHORT_SPREAD,2025-12-10 14:53:00-05:00,2025-12-10 14:56:00-05:00,3.0,2.847993597436065,3.340800764223957,0.34130772538653903,-6,12,327.4200134277344,540.8699951171875,327.4809875488281,540.7000122070312,-2.4056396484375,STOP
V-MA,SHORT_SPREAD,2025-12-10 14:57:00-05:00,2025-12-10 14:58:00-05:00,1.0,2.8338910711793166,3.2321943557896766,0.3478084434855775,-7,12,327.6199951171875,540.760009765625,327.79998779296875,541.1099853515625,2.93975830078125,STOP
V-MA,SHORT_SPREAD,2025-12-10 14:59:00-05:00,2025-12-10 15:00:00-05:00,1.0,3.236052862204622,3.1261993815304012,0.36257921441568486,-7,12,327.7900085449219,541.010009765625,327.489990234375,540.4000854492188,-5.218963623046875,STOP
V-MA,SHORT_SPREAD,2025-12-10 15:01:00-05:00,2025-12-10 15:31:00-05:00,30.0,2.6467381415915865,,0.370545630261396,-7,12,327.3399963378906,540.47998046875,326.42498779296875,539.9299926757812,-0.194793701171875,TIME
V-MA,SHORT_SPREAD,2025-12-11 10:33:00-05:00,2025-12-11 11:03:00-05:00,30.0,2.0100362766833597,,0.779584285188598,-11,9,337.52099609375,553.1500244140625,339.1400146484375,554.1849975585938,-8.49444580078125,TIME
